RG1
5 reads
['E00338:95:HGNWJCCXY:3:1209:9617:67832', 'E00338:95:HGNWJCCXY:3:1209:9638:67937', 'E00338:95:HGNWJCCXY:3:1219:8329:42429', 'E00338:95:HGNWJCCXY:3:1219:8572:42464', 'E00338:95:HGNWJCCXY:7:1206:6329:52818']

id	scaffold	start	end	EVE_name	EVE_start	EVE_end	EVE_distance	piwi_cluster_name	piwi_cluster_start	piwi_cluster_end	piwi_cluster_distance
NW_021837045.1:104337480-104337757	NW_021837045.1	104337480	104337757	.	.	.	.	.	.	.	.
NW_021837045.1:104869647-104869927	NW_021837045.1	104869647	104869927	.	.	.	.	.	.	.	.
NW_021837045.1:106925523-106925801	NW_021837045.1	106925523	106925801	.	.	.	.	.	.	.	.
NW_021837045.1:107197244-107197522	NW_021837045.1	107197244	107197522	.	.	.	.	.	.	.	.
NW_021837045.1:108159079-108159256	NW_021837045.1	108159079	108159256	.	.	.	.	.	.	.	.
NW_021837045.1:108170259-108170436	NW_021837045.1	108170259	108170436	.	.	.	.	.	.	.	.
NW_021837045.1:111334025-111334303	NW_021837045.1	111334025	111334303	.	.	.	.	.	.	.	.
NW_021837045.1:112588836-112589109	NW_021837045.1	112588836	112589109	.	.	.	.	.	.	.	.
NW_021837045.1:113462017-113462289	NW_021837045.1	113462017	113462289	.	.	.	.	.	.	.	.
NW_021837045.1:113885521-113885793	NW_021837045.1	113885521	113885793	.	.	.	.	.	.	.	.
NW_021837045.1:117840742-117841017	NW_021837045.1	117840742	117841017	.	.	.	.	.	.	.	.
NW_021837045.1:123713983-123714261	NW_021837045.1	123713983	123714261	.	.	.	.	.	.	.	.
NW_021837045.1:124177912-124178190	NW_021837045.1	124177912	124178190	.	.	.	.	.	.	.	.
NW_021837045.1:128708249-128708527	NW_021837045.1	128708249	128708527	.	.	.	.	.	.	.	.
NW_021837045.1:12951945-12952402	NW_021837045.1	12951945	12952402	.	.	.	.	.	.	.	.
NW_021837045.1:131960277-131960555	NW_021837045.1	131960277	131960555	.	.	.	.	.	.	.	.
NW_021837045.1:131973356-131973634	NW_021837045.1	131973356	131973634	.	.	.	.	.	.	.	.
NW_021837045.1:134263569-134263847	NW_021837045.1	134263569	134263847	.	.	.	.	.	.	.	.
NW_021837045.1:136088953-136089226	NW_021837045.1	136088953	136089226	.	.	.	.	.	.	.	.
NW_021837045.1:136853986-136854263	NW_021837045.1	136853986	136854263	.	.	.	.	.	.	.	.
NW_021837045.1:141283071-141283346	NW_021837045.1	141283071	141283346	.	.	.	.	.	.	.	.
NW_021837045.1:141291955-141292233	NW_021837045.1	141291955	141292233	.	.	.	.	.	.	.	.
NW_021837045.1:143243879-143244157	NW_021837045.1	143243879	143244157	.	.	.	.	.	.	.	.
NW_021837045.1:145528012-145528291	NW_021837045.1	145528012	145528291	.	.	.	.	.	.	.	.
NW_021837045.1:145554414-145554858	NW_021837045.1	145554414	145554858	.	.	.	.	.	.	.	.
NW_021837045.1:146070500-146070778	NW_021837045.1	146070500	146070778	.	.	.	.	.	.	.	.
NW_021837045.1:149093032-149093752	NW_021837045.1	149093032	149093752	.	.	.	.	.	.	.	.
NW_021837045.1:150186968-150187210	NW_021837045.1	150186968	150187210	.	.	.	.	.	.	.	.
NW_021837045.1:150467765-150468043	NW_021837045.1	150467765	150468043	.	.	.	.	.	.	.	.
NW_021837045.1:151972291-151973314	NW_021837045.1	151972291	151973314	.	.	.	.	.	.	.	.
NW_021837045.1:154128460-154128738	NW_021837045.1	154128460	154128738	.	.	.	.	.	.	.	.
NW_021837045.1:155808416-155808691	NW_021837045.1	155808416	155808691	.	.	.	.	.	.	.	.
NW_021837045.1:165529647-165529925	NW_021837045.1	165529647	165529925	.	.	.	.	.	.	.	.
NW_021837045.1:167417027-167417305	NW_021837045.1	167417027	167417305	.	.	.	.	.	.	.	.
NW_021837045.1:170542201-170542479	NW_021837045.1	170542201	170542479	.	.	.	.	.	.	.	.
NW_021837045.1:173402974-173403244	NW_021837045.1	173402974	173403244	.	.	.	.	.	.	.	.
NW_021837045.1:174352158-174352405	NW_021837045.1	174352158	174352405	.	.	.	.	.	.	.	.
NW_021837045.1:174588293-174588542	NW_021837045.1	174588293	174588542	.	.	.	.	.	.	.	.
NW_021837045.1:174856671-174856949	NW_021837045.1	174856671	174856949	.	.	.	.	.	.	.	.
NW_021837045.1:176673538-176673818	NW_021837045.1	176673538	176673818	.	.	.	.	.	.	.	.
NW_021837045.1:178775198-178775444	NW_021837045.1	178775198	178775444	.	.	.	.	.	.	.	.
NW_021837045.1:180824948-180825226	NW_021837045.1	180824948	180825226	.	.	.	.	.	.	.	.
NW_021837045.1:182263936-182264207	NW_021837045.1	182263936	182264207	.	.	.	.	.	.	.	.
NW_021837045.1:184306319-184306597	NW_021837045.1	184306319	184306597	.	.	.	.	.	.	.	.
NW_021837045.1:185375-185651	NW_021837045.1	185375	185651	.	.	.	.	.	.	.	.
NW_021837045.1:186037369-186037644	NW_021837045.1	186037369	186037644	.	.	.	.	.	.	.	.
NW_021837045.1:186864396-186864676	NW_021837045.1	186864396	186864676	.	.	.	.	.	.	.	.
NW_021837045.1:187186537-187187025	NW_021837045.1	187186537	187187025	.	.	.	.	.	.	.	.
NW_021837045.1:188397641-188397919	NW_021837045.1	188397641	188397919	.	.	.	.	.	.	.	.
NW_021837045.1:189406383-189406661	NW_021837045.1	189406383	189406661	.	.	.	.	.	.	.	.
NW_021837045.1:191468512-191468942	NW_021837045.1	191468512	191468942	.	.	.	.	.	.	.	.
NW_021837045.1:192502282-192502560	NW_021837045.1	192502282	192502560	.	.	.	.	.	.	.	.
NW_021837045.1:192816818-192817096	NW_021837045.1	192816818	192817096	.	.	.	.	.	.	.	.
NW_021837045.1:30374826-30375102	NW_021837045.1	30374826	30375102	.	.	.	.	.	.	.	.
NW_021837045.1:32186021-32186299	NW_021837045.1	32186021	32186299	.	.	.	.	.	.	.	.
NW_021837045.1:33217073-33217351	NW_021837045.1	33217073	33217351	.	.	.	.	.	.	.	.
NW_021837045.1:34571032-34571310	NW_021837045.1	34571032	34571310	.	.	.	.	.	.	.	.
NW_021837045.1:35244532-35244811	NW_021837045.1	35244532	35244811	.	.	.	.	.	.	.	.
NW_021837045.1:37369652-37369930	NW_021837045.1	37369652	37369930	.	.	.	.	.	.	.	.
NW_021837045.1:37801704-37801982	NW_021837045.1	37801704	37801982	.	.	.	.	.	.	.	.
NW_021837045.1:38046528-38046972	NW_021837045.1	38046528	38046972	.	.	.	.	.	.	.	.
NW_021837045.1:38836357-38836562	NW_021837045.1	38836357	38836562	.	.	.	.	.	.	.	.
NW_021837045.1:389936-390214	NW_021837045.1	389936	390214	.	.	.	.	.	.	.	.
NW_021837045.1:40149302-40149572	NW_021837045.1	40149302	40149572	.	.	.	.	.	.	.	.
NW_021837045.1:42059966-42060723	NW_021837045.1	42059966	42060723	.	.	.	.	.	.	.	.
NW_021837045.1:47521966-47522243	NW_021837045.1	47521966	47522243	.	.	.	.	.	.	.	.
NW_021837045.1:48096783-48097056	NW_021837045.1	48096783	48097056	.	.	.	.	.	.	.	.
NW_021837045.1:48123541-48123819	NW_021837045.1	48123541	48123819	.	.	.	.	.	.	.	.
NW_021837045.1:49238905-49239178	NW_021837045.1	49238905	49239178	.	.	.	.	.	.	.	.
NW_021837045.1:52266397-52266580	NW_021837045.1	52266397	52266580	.	.	.	.	.	.	.	.
NW_021837045.1:54317866-54318144	NW_021837045.1	54317866	54318144	.	.	.	.	.	.	.	.
NW_021837045.1:58098311-58098564	NW_021837045.1	58098311	58098564	.	.	.	.	.	.	.	.
NW_021837045.1:65368185-65368463	NW_021837045.1	65368185	65368463	.	.	.	.	.	.	.	.
NW_021837045.1:67045846-67046124	NW_021837045.1	67045846	67046124	.	.	.	.	.	.	.	.
NW_021837045.1:70382925-70383202	NW_021837045.1	70382925	70383202	.	.	.	.	.	.	.	.
NW_021837045.1:74004977-74005255	NW_021837045.1	74004977	74005255	.	.	.	.	.	.	.	.
NW_021837045.1:74780446-74780724	NW_021837045.1	74780446	74780724	.	.	.	.	.	.	.	.
NW_021837045.1:74921889-74922121	NW_021837045.1	74921889	74922121	.	.	.	.	.	.	.	.
NW_021837045.1:78934072-78934352	NW_021837045.1	78934072	78934352	.	.	.	.	.	.	.	.
NW_021837045.1:79880248-79880526	NW_021837045.1	79880248	79880526	.	.	.	.	.	.	.	.
NW_021837045.1:81047386-81047655	NW_021837045.1	81047386	81047655	.	.	.	.	.	.	.	.
NW_021837045.1:84058405-84058683	NW_021837045.1	84058405	84058683	.	.	.	.	.	.	.	.
NW_021837045.1:84321401-84321667	NW_021837045.1	84321401	84321667	.	.	.	.	.	.	.	.
NW_021837045.1:86520040-86520318	NW_021837045.1	86520040	86520318	.	.	.	.	.	.	.	.
NW_021837045.1:87322268-87322546	NW_021837045.1	87322268	87322546	.	.	.	.	.	.	.	.
NW_021837045.1:89495024-89495302	NW_021837045.1	89495024	89495302	.	.	.	.	.	.	.	.
NW_021837045.1:93444173-93444451	NW_021837045.1	93444173	93444451	.	.	.	.	.	.	.	.
NW_021837045.1:93996446-93996724	NW_021837045.1	93996446	93996724	.	.	.	.	.	.	.	.
NW_021837045.1:94706537-94706815	NW_021837045.1	94706537	94706815	.	.	.	.	.	.	.	.
NW_021837045.1:97027454-97027732	NW_021837045.1	97027454	97027732	.	.	.	.	.	.	.	.
NW_021837046.1:11047936-11048214	NW_021837046.1	11047936	11048214	.	.	.	.	.	.	.	.
NW_021837046.1:1110910-1111093	NW_021837046.1	1110910	1111093	.	.	.	.	.	.	.	.
NW_021837046.1:17682771-17683020	NW_021837046.1	17682771	17683020	.	.	.	.	.	.	.	.
NW_021837046.1:17718725-17719003	NW_021837046.1	17718725	17719003	.	.	.	.	.	.	.	.
NW_021837046.1:19130282-19130560	NW_021837046.1	19130282	19130560	.	.	.	.	.	.	.	.
NW_021837046.1:22537137-22537415	NW_021837046.1	22537137	22537415	.	.	.	.	.	.	.	.
NW_021837046.1:24909014-24909292	NW_021837046.1	24909014	24909292	.	.	.	.	.	.	.	.
NW_021837046.1:26845043-26845321	NW_021837046.1	26845043	26845321	.	.	.	.	.	.	.	.
NW_021837046.1:28366981-28367259	NW_021837046.1	28366981	28367259	.	.	.	.	.	.	.	.
NW_021837046.1:31524075-31524353	NW_021837046.1	31524075	31524353	.	.	.	.	.	.	.	.
NW_021837046.1:36130362-36130627	NW_021837046.1	36130362	36130627	.	.	.	.	.	.	.	.
NW_021837046.1:37437021-37437297	NW_021837046.1	37437021	37437297	.	.	.	.	.	.	.	.
NW_021837046.1:38281366-38281644	NW_021837046.1	38281366	38281644	.	.	.	.	.	.	.	.
NW_021837046.1:38401742-38402020	NW_021837046.1	38401742	38402020	.	.	.	.	.	.	.	.
NW_021837046.1:38835794-38836071	NW_021837046.1	38835794	38836071	.	.	.	.	.	.	.	.
NW_021837046.1:40011163-40011442	NW_021837046.1	40011163	40011442	.	.	.	.	.	.	.	.
NW_021837046.1:4146527-4146805	NW_021837046.1	4146527	4146805	.	.	.	.	.	.	.	.
NW_021837046.1:42092280-42092558	NW_021837046.1	42092280	42092558	.	.	.	.	.	.	.	.
NW_021837046.1:43219454-43219732	NW_021837046.1	43219454	43219732	.	.	.	.	.	.	.	.
NW_021837046.1:43748347-43748625	NW_021837046.1	43748347	43748625	.	.	.	.	.	.	.	.
NW_021837046.1:44222627-44223119	NW_021837046.1	44222627	44223119	.	.	.	.	.	.	.	.
NW_021837046.1:4920684-4920962	NW_021837046.1	4920684	4920962	.	.	.	.	.	.	.	.
NW_021837046.1:51773349-51773627	NW_021837046.1	51773349	51773627	.	.	.	.	.	.	.	.
NW_021837046.1:54245029-54245307	NW_021837046.1	54245029	54245307	.	.	.	.	.	.	.	.
NW_021837046.1:55754389-55755131	NW_021837046.1	55754389	55755131	.	.	.	.	.	.	.	.
NW_021837046.1:5648723-5649001	NW_021837046.1	5648723	5649001	.	.	.	.	.	.	.	.
NW_021837046.1:56975548-56975825	NW_021837046.1	56975548	56975825	.	.	.	.	.	.	.	.
NW_021837046.1:57551886-57552164	NW_021837046.1	57551886	57552164	.	.	.	.	.	.	.	.
NW_021837046.1:58951134-58951412	NW_021837046.1	58951134	58951412	.	.	.	.	.	.	.	.
NW_021837046.1:59271695-59272542	NW_021837046.1	59271695	59272542	.	.	.	.	.	.	.	.
NW_021837046.1:59763953-59764231	NW_021837046.1	59763953	59764231	.	.	.	.	.	.	.	.
NW_021837046.1:60379813-60380083	NW_021837046.1	60379813	60380083	.	.	.	.	.	.	.	.
NW_021837046.1:60831009-60831847	NW_021837046.1	60831009	60831847	.	.	.	.	.	.	.	.
NW_021837046.1:6119613-6119895	NW_021837046.1	6119613	6119895	.	.	.	.	.	.	.	.
NW_021837046.1:61479249-61479527	NW_021837046.1	61479249	61479527	.	.	.	.	.	.	.	.
NW_021837046.1:62559701-62559979	NW_021837046.1	62559701	62559979	.	.	.	.	.	.	.	.
NW_021837046.1:62796105-62796389	NW_021837046.1	62796105	62796389	.	.	.	.	.	.	.	.
NW_021837046.1:63185841-63186678	NW_021837046.1	63185841	63186678	.	.	.	.	.	.	.	.
NW_021837046.1:7046674-7046952	NW_021837046.1	7046674	7046952	.	.	.	.	.	.	.	.
NW_021837046.1:7361041-7361290	NW_021837046.1	7361041	7361290	.	.	.	.	.	.	.	.
NW_021837046.1:8023059-8023337	NW_021837046.1	8023059	8023337	.	.	.	.	.	.	.	.
NW_021837047.1:978078-978352	NW_021837047.1	978078	978352	.	.	.	.	.	.	.	.
NW_021837057.1:75528-75806	NW_021837057.1	75528	75806	.	.	.	.	.	.	.	.
NW_021837058.1:1108735-1109013	NW_021837058.1	1108735	1109013	.	.	.	.	.	.	.	.
NW_021837058.1:139464-139742	NW_021837058.1	139464	139742	.	.	.	.	.	.	.	.
NW_021837058.1:1669049-1669301	NW_021837058.1	1669049	1669301	.	.	.	.	.	.	.	.
NW_021837080.1:2023306-2023584	NW_021837080.1	2023306	2023584	.	.	.	.	.	.	.	.
NW_021837090.1:1657169-1657446	NW_021837090.1	1657169	1657446	.	.	.	.	.	.	.	.
NW_021837116.1:40245-40456	NW_021837116.1	40245	40456	.	.	.	.	.	.	.	.
NW_021837118.1:79383-79661	NW_021837118.1	79383	79661	.	.	.	.	.	.	.	.
NW_021837123.1:822226-822504	NW_021837123.1	822226	822504	.	.	.	.	.	.	.	.
NW_021837134.1:25908-26186	NW_021837134.1	25908	26186	.	.	.	.	.	.	.	.
NW_021837149.1:38326-38604	NW_021837149.1	38326	38604	.	.	.	.	.	.	.	.
NW_021837156.1:17236305-17236583	NW_021837156.1	17236305	17236583	.	.	.	.	.	.	.	.
